n,seed,c_setting,c,solvable,cost,odd,oddagents,time
stable,2,23,c2,1,1,2.0000,0,0,0.00
stable,2,23,c3,1,1,2.0000,0,0,0.00
stable,2,23,c4,1,1,2.0000,0,0,0.00
stable,2,24,c0,1,1,2.0000,0,0,0.00
stable,2,24,c1,1,1,2.0000,0,0,0.00
stable,2,24,c2,1,1,2.0000,0,0,0.00
stable,2,24,c3,1,1,2.0000,0,0,0.00
stable,2,24,c4,1,1,2.0000,0,0,0.00
stable,2,25,c0,1,1,2.0000,0,0,0.00
stable,2,25,c1,1,1,2.0000,0,0,0.00
stable,2,25,c2,1,1,2.0000,0,0,0.00
stable,2,25,c3,1,1,2.0000,0,0,0.00
stable,2,25,c4,1,1,2.0000,0,0,0.00
stable,2,26,c0,1,1,2.0000,0,0,0.00
stable,2,26,c1,1,1,2.0000,0,0,0.00
stable,2,26,c2,1,1,2.0000,0,0,0.00
stable,2,26,c3,1,1,2.0000,0,0,0.00
stable,2,26,c4,1,1,2.0000,0,0,0.00
stable,2,27,c0,1,1,2.0000,0,0,0.00
stable,2,27,c1,1,1,2.0000,0,0,0.02
stable,2,27,c2,1,1,2.0000,0,0,0.00
stable,2,27,c3,1,1,2.0000,0,0,0.00
stable,2,27,c4,1,1,2.0000,0,0,0.00
stable,2,28,c0,1,1,2.0000,0,0,0.00
stable,2,28,c1,1,1,2.0000,0,0,0.00
stable,2,28,c2,1,1,2.0000,0,0,0.00
stable,2,28,c3,1,1,2.0000,0,0,0.00
stable,2,28,c4,1,1,2.0000,0,0,0.00
stable,2,29,c0,1,1,2.0000,0,0,0.00
stable,2,29,c1,1,1,2.0000,0,0,0.00
stable,2,29,c2,1,1,2.0000,0,0,0.00
stable,2,29,c3,1,1,2.0000,0,0,0.00
stable,2,29,c4,1,1,2.0000,0,0,0.00
stable,2,30,c0,1,1,2.0000,0,0,0.00
stable,2,30,c1,1,1,2.0000,0,0,0.00
stable,2,30,c2,1,1,2.0000,0,0,0.00
stable,2,30,c3,1,1,2.0000,0,0,0.00
stable,2,30,c4,1,1,2.0000,0,0,0.00
stable,2,31,c0,1,1,2.0000,0,0,0.00
stable,2,31,c1,1,1,2.0000,0,0,0.00
stable,2,31,c2,1,1,2.0000,0,0,0.00
stable,2,31,c3,1,1,2.0000,0,0,0.00
stable,2,31,c4,1,1,2.0000,0,0,0.00
stable,2,32,c0,1,1,2.0000,0,0,0.00
stable,2,32,c1,1,1,2.0000,0,0,0.00
stable,2,32,c2,1,1,2.0000,0,0,0.00
stable,2,32,c3,1,1,2.0000,0,0,0.00
stable,2,32,c4,1,1,2.0000,0,0,0.02
stable,2,33,c0,1,1,2.0000,0,0,0.00
stable,2,33,c1,1,1,2.0000,0,0,0.00
stable,2,33,c2,1,1,2.0000,0,0,0.00
stable,2,33,c3,1,1,2.0000,0,0,0.00
stable,2,33,c4,1,1,2.0000,0,0,0.00
stable,2,34,c0,1,1,2.0000,0,0,0.00
stable,2,34,c1,1,1,2.0000,0,0,0.00
stable,2,34,c2,1,1,2.0000,0,0,0.00
stable,2,34,c3,1,1,2.0000,0,0,0.00
stable,2,34,c4,1,1,2.0000,0,0,0.00
stable,2,35,c0,1,1,2.0000,0,0,0.00
stable,2,35,c1,1,1,2.0000,0,0,0.00
stable,2,35,c2,1,1,2.0000,0,0,0.00
stable,2,35,c3,1,1,2.0000,0,0,0.00
stable,2,35,c4,1,1,2.0000,0,0,0.00
stable,2,36,c0,1,1,2.0000,0,0,0.00
stable,2,36,c1,1,1,2.0000,0,0,0.00
stable,2,36,c2,1,1,2.0000,0,0,0.00
stable,2,36,c3,1,1,2.0000,0,0,0.00
stable,2,36,c4,1,1,2.0000,0,0,0.00
stable,2,37,c0,1,1,2.0000,0,0,0.00
stable,2,37,c1,1,1,2.0000,0,0,0.00
stable,2,37,c2,1,1,2.0000,0,0,0.00
stable,2,37,c3,1,1,2.0000,0,0,0.00
stable,2,37,c4,1,1,2.0000,0,0,0.00
stable,2,38,c0,1,1,2.0000,0,0,0.00
stable,2,38,c1,1,1,2.0000,0,0,0.00
stable,2,38,c2,1,1,2.0000,0,0,0.00
stable,2,38,c3,1,1,2.0000,0,0,0.00
stable,2,38,c4,1,1,2.0000,0,0,0.00
stable,2,39,c0,1,1,2.0000,0,0,0.00
stable,2,39,c1,1,1,2.0000,0,0,0.00
stable,2,39,c2,1,1,2.0000,0,0,0.00
stable,2,39,c3,1,1,2.0000,0,0,0.00
stable,2,39,c4,1,1,2.0000,0,0,0.00
stable,2,40,c0,1,1,2.0000,0,0,0.00
stable,2,40,c1,1,1,2.0000,0,0,0.00
stable,2,40,c2,1,1,2.0000,0,0,0.00
stable,2,40,c3,1,1,2.0000,0,0,0.00
stable,2,40,c4,1,1,2.0000,0,0,0.00
stable,2,41,c0,1,1,2.0000,0,0,0.00
stable,2,41,c1,1,1,2.0000,0,0,0.00
stable,2,41,c2,1,1,2.0000,0,0,0.00
stable,2,41,c3,1,1,2.0000,0,0,0.00
stable,2,41,c4,1,1,2.0000,0,0,0.00
stable,2,42,c0,1,1,2.0000,0,0,0.00
stable,2,42,c1,1,1,2.0000,0,0,0.00
stable,2,42,c2,1,1,2.0000,0,0,0.02
stable,2,42,c3,1,1,2.0000,0,0,0.00
stable,2,42,c4,1,1,2.0000,0,0,0.00
stable,2,43,c0,1,1,2.0000,0,0,0.00
stable,2,43,c1,1,1,2.0000,0,0,0.00
stable,2,43,c2,1,1,2.0000,0,0,0.00
stable,2,43,c3,1,1,2.0000,0,0,0.00
stable,2,43,c4,1,1,2.0000,0,0,0.00
stable,2,44,c0,1,1,2.0000,0,0,0.00
stable,2,44,c1,1,1,2.0000,0,0,0.00
stable,2,44,c2,1,1,2.0000,0,0,0.00
stable,2,44,c3,1,1,2.0000,0,0,0.00
stable,2,44,c4,1,1,2.0000,0,0,0.00
stable,2,45,c0,1,1,2.0000,0,0,0.00
stable,2,45,c1,1,1,2.0000,0,0,0.00
stable,2,45,c2,1,1,2.0000,0,0,0.00
stable,2,45,c3,1,1,2.0000,0,0,0.00
stable,2,45,c4,1,1,2.0000,0,0,0.00
stable,2,46,c0,1,1,2.0000,0,0,0.00
stable,2,46,c1,1,1,2.0000,0,0,0.00
stable,2,46,c2,1,1,2.0000,0,0,0.00
stable,2,46,c3,1,1,2.0000,0,0,0.00
stable,2,46,c4,1,1,2.0000,0,0,0.00
stable,2,47,c0,1,1,2.0000,0,0,0.00
stable,2,47,c1,1,1,2.0000,0,0,0.00
stable,2,47,c2,1,1,2.0000,0,0,0.00
stable,2,47,c3,1,1,2.0000,0,0,0.00
stable,2,47,c4,1,1,2.0000,0,0,0.00
stable,2,48,c0,1,1,2.0000,0,0,0.00
stable,2,48,c1,1,1,2.0000,0,0,0.00
stable,2,48,c2,1,1,2.0000,0,0,0.00
stable,2,48,c3,1,1,2.0000,0,0,0.00
stable,2,48,c4,1,1,2.0000,0,0,0.00
stable,2,49,c0,1,1,2.0000,0,0,0.00
stable,2,49,c1,1,1,2.0000,0,0,0.00
stable,2,49,c2,1,1,2.0000,0,0,0.00
stable,2,49,c3,1,1,2.0000,0,0,0.00
stable,2,49,c4,1,1,2.0000,0,0,0.00
stable,2,50,c0,1,1,2.0000,0,0,0.00
stable,2,50,c1,1,1,2.0000,0,0,0.00
stable,2,50,c2,1,1,2.0000,0,0,0.00
stable,2,50,c3,1,1,2.0000,0,0,0.00
stable,2,50,c4,1,1,2.0000,0,0,0.00
stable,2,51,c0,1,1,2.0000,0,0,0.00
stable,2,51,c1,1,1,2.0000,0,0,0.02
stable,2,51,c2,1,1,2.0000,0,0,0.00
stable,2,51,c3,1,1,2.0000,0,0,0.00
stable,2,51,c4,1,1,2.0000,0,0,0.00
stable,2,52,c0,1,1,2.0000,0,0,0.00
stable,2,52,c1,1,1,2.0000,0,0,0.00
stable,2,52,c2,1,1,2.0000,0,0,0.00
