n,c0,c1,c2,c3,c4
2,0.0,0.0,0.0,0.0,0.0
4,0.039,0.039,0.0,0.0,0.0
6,0.086,0.086,0.081,0.047,0.0
8,0.108,0.097,0.119,0.069,0.0
10,0.162,0.175,0.168,0.153,0.0
12,0.166,0.185,0.206,0.138,0.0
14,0.222,0.204,0.235,0.214,0.0
16,0.268,0.249,0.27,0.235,0.0
18,0.252,0.251,0.293,0.286,0.0
20,0.269,0.299,0.314,0.292,0.0
22,0.301,0.299,0.349,0.342,0.0
24,0.339,0.301,0.356,0.365,0.0
26,0.351,0.333,0.394,0.394,0.0
28,0.401,0.347,0.387,0.403,0.0
30,0.431,0.341,0.417,0.401,0.0
32,0.415,0.432,0.422,0.485,0.0
