n,c0,c1,c2,c3,c4
2,1.0,1.0,1.0,1.0,1.0
4,0.961,0.961,1.0,1.0,1.0
6,0.925,0.916,0.921,0.954,1.0
8,0.919,0.912,0.893,0.935,1.0
10,0.877,0.858,0.848,0.853,1.0
12,0.88,0.862,0.828,0.871,1.0
14,0.855,0.856,0.805,0.806,1.0
16,0.832,0.842,0.799,0.785,1.0
18,0.847,0.838,0.764,0.744,1.0
20,0.842,0.817,0.776,0.741,1.0
22,0.827,0.827,0.751,0.706,1.0
24,0.801,0.829,0.761,0.685,1.0
26,0.801,0.813,0.751,0.675,1.0
28,0.78,0.808,0.764,0.659,1.0
30,0.771,0.818,0.75,0.672,1.0
32,0.777,0.773,0.752,0.612,1.0
