n,c0,c1,c2,c3,c4
2,0.0,0.0,0.0,0.0,0.0
4,0.117,0.117,0.0,0.0,0.0
6,0.268,0.27,0.251,0.141,0.0
8,0.35,0.311,0.377,0.223,0.0
10,0.568,0.579,0.568,0.507,0.0
12,0.566,0.647,0.694,0.476,0.0
14,0.806,0.726,0.829,0.742,0.0
16,0.976,0.901,0.982,0.873,0.0
18,0.944,0.935,1.089,1.08,0.0
20,1.087,1.153,1.202,1.132,0.0
22,1.183,1.147,1.399,1.324,0.0
24,1.353,1.155,1.428,1.481,0.0
26,1.507,1.329,1.556,1.612,0.0
28,1.697,1.377,1.549,1.683,0.0
30,1.843,1.425,1.749,1.691,0.0
32,1.823,1.82,1.804,2.127,0.0
